Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0805,2,10uF,
"C10, C11",0603,2,10pF,
C12,0603,1,4.7uF,
"C13, C14, C15, C3",0603,4,100nF,
"C17, C18, C23, C24, C5, C6",0603,6,0.1uF,
"C19, C25, C7",0603,3,10uF,
"C20, C26, C8",0603,3,47nF,
"C21, C27, C28, C29, C30, C9",0603,6,1uF,
"C31, C32, C33",0805,3,22uF,
"D10, D11, D12, D2, D7, D8, D9",0603,7,red,
D3,SOT-143,1,PRTR5V0U2X,
"D4, D5, D6",0603,3,LED,
"IC1, IC2, IC3",QFN50P600X600X80-41N-D,3,DRV8353FSRTAR,
J1,AMPHENOL_10155435-00011LF,1,10155435-00011LF,
"J10, J11, J12, J4, J5, J6",JST_B5B-XH-A_LF__SN_,6,B5B-XH-A_LF__SN_,
"J13, J15",SAMTEC_MTSW-104-09-L-S-400,2,MTSW-104-09-L-S-400,
J14,AMASS_XT30PW-M,1,XT30PW-M,
J2,SAMTEC_MTSW-102-09-L-S-400,1,MTSW-102-09-L-S-400,
"J3, J7, J8",MR30PWM,3,MR30PW-M,
J9,CONNFLY_DS1013-10SSIB1,1,DS1013-10SSIB1,
"Q1, Q10, Q11, Q12, Q13, Q14, Q15, Q19, Q2, Q20, Q21, Q3, Q4, Q5, Q6, Q7, Q8, Q9",AON7262E,18,AON7262E,
"R1, R2",0603,2,5.1K,
"R10, R11, R12, R13, R14, R15, R16, R17, R9",2512,9,10mΩ,
"R18, R19, R20, R21, R22, R23, R24, R25, R3, R4, R6, R7, R8",0603,13,3.3K,
"R29, R30, R31, R32, R33, R34, R35, R36, R37, R38",0603,10,1.5K,
R5,0603,1,47,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F303RET6,
U5,SOT94P279X129-5N,1,RT9013-33GB,
Y2,OSC_X322516MLB4SI,1,X322516MLB4SI,
